 ,Area,Mean,Min,Max,Length
607,97.633,106.852,81.056,119.609,126.545
608,14.201,105.127,90.333,118.733,17.759
609,488.757,124.648,11.901,255.000,635.395
610,18.343,103.161,94.667,113.000,23.077
611,103.550,117.752,92.324,126.321,134.186
612,17.751,107.113,84.459,134.111,22.519
613,156.213,121.446,90.871,143.919,202.939
614,21.893,87.548,61.002,105.274,27.735
615,137.278,110.376,63.400,119.400,178.171
616,21.302,88.060,66.000,101.895,27.055
617,77.515,100.859,51.049,125.547,100.510
618,20.118,83.404,55.842,95.370,25.801
619,88.757,109.076,66.667,129.747,114.965
620,22.485,87.135,58.871,100.508,28.555
621,37.870,110.177,90.333,123.501,49.153
622,19.527,88.579,40.606,110.005,25.056
623,140.237,97.702,41.153,123.104,181.762
624,23.077,91.463,83.019,100.074,29.921
625,110.059,104.483,36.851,118.106,142.475
626,20.710,74.544,58.110,95.022,26.334
627,104.734,111.125,89.000,122.566,136.064
628,20.118,87.669,73.921,102.994,26.120
629,149.112,115.918,93.354,124.382,193.883
630,23.077,83.799,68.579,95.175,29.291
631,75.148,115.121,103.809,121.086,97.126
632,21.893,79.063,66.766,92.000,28.169
